[2026-03-14T16:24:14.621Z] GET http://localhost:4400/ → pending (?ms, ?B)
[2026-03-14T16:24:15.784Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700&family=Playfair+Display:ital,wght@0,400;0,600;0,700;1,400&display=swap → 200 (127ms, 16765B)
[2026-03-14T16:24:15.784Z] GET http://localhost:4400/@vite/client → 200 (94ms, 293984B)
[2026-03-14T16:24:15.784Z] GET http://localhost:4400/@id/astro/runtime/client/dev-toolbar/entrypoint.js → pending (?ms, ?B)
[2026-03-14T16:24:15.784Z] GET http://localhost:4400/src/styles/global.css → 200 (167ms, 32794B)
[2026-03-14T16:24:15.878Z] GET http://localhost:4400/node_modules/vite/dist/client/env.mjs → 200 (81ms, 3478B)
[2026-03-14T16:24:15.950Z] GET https://fonts.gstatic.com/s/playfairdisplay/v40/nuFiD-vYSZviVYUb_rj3ij__anPXDTzYgEM86xQ.woff2 → pending (?ms, ?B)
[2026-03-14T16:24:15.950Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → pending (?ms, ?B)
[2026-03-14T16:24:16.145Z] GET http://localhost:4400/node_modules/.vite/deps/chunk-HNT3PLDI.js?v=9bfe2023 → 200 (4ms, 2726B)
[2026-03-14T16:24:16.145Z] GET http://localhost:4400/node_modules/.vite/deps/chunk-LEX3GG7N.js?v=9bfe2023 → 200 (7ms, 4683B)
[2026-03-14T16:24:16.145Z] GET http://localhost:4400/node_modules/.vite/deps/chunk-5WRI5ZAA.js?v=9bfe2023 → 200 (5ms, 7184B)
[2026-03-14T16:24:16.145Z] GET http://localhost:4400/@id/__x00__astro:toolbar:internal → 200 (10ms, 8955B)
[2026-03-14T16:24:16.157Z] GET http://localhost:4400/node_modules/.vite/deps/astro-BKQCAMZY.js?v=9bfe2023 → 200 (12ms, ?B)
[2026-03-14T16:24:16.157Z] GET http://localhost:4400/node_modules/.vite/deps/audit-7NUPXPU7.js?v=9bfe2023 → 200 (19ms, ?B)
[2026-03-14T16:24:16.157Z] GET http://localhost:4400/node_modules/.vite/deps/xray-XH6VIXDC.js?v=9bfe2023 → 200 (19ms, ?B)
[2026-03-14T16:24:16.157Z] GET http://localhost:4400/node_modules/.vite/deps/settings-K4OHAGC2.js?v=9bfe2023 → 200 (21ms, ?B)
[2026-03-14T16:24:16.158Z] GET http://localhost:4400/node_modules/.vite/deps/toolbar-OWACWLIF.js?v=9bfe2023 → pending (?ms, ?B)
[2026-03-14T16:24:16.158Z] GET http://localhost:4400/node_modules/.vite/deps/ui-library-EVFCBMCE.js?v=9bfe2023 → pending (?ms, ?B)
[2026-03-14T16:24:16.159Z] GET http://localhost:4400/ → 200 (35ms, 47796B)
[2026-03-14T16:24:16.170Z] GET http://localhost:4400/node_modules/.vite/deps/chunk-WM2KMMIK.js?v=9bfe2023 → pending (?ms, ?B)
[2026-03-14T16:24:16.170Z] GET http://localhost:4400/node_modules/.vite/deps/chunk-ZUETELRC.js?v=9bfe2023 → pending (?ms, ?B)
[2026-03-14T16:24:16.176Z] GET http://localhost:4400/node_modules/.vite/deps/chunk-WTIA47ZU.js?v=9bfe2023 → pending (?ms, ?B)
[2026-03-14T16:24:16.176Z] GET http://localhost:4400/node_modules/.vite/deps/chunk-LEAOZWS7.js?v=9bfe2023 → pending (?ms, ?B)
[2026-03-14T16:24:16.176Z] GET http://localhost:4400/node_modules/.vite/deps/chunk-PXGSXSC7.js?v=9bfe2023 → pending (?ms, ?B)
[2026-03-14T16:24:16.176Z] GET http://localhost:4400/node_modules/.vite/deps/chunk-WDCEFGHP.js?v=9bfe2023 → pending (?ms, ?B)
[2026-03-14T16:24:16.196Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700&family=Playfair+Display:ital,wght@0,400;0,600;0,700;1,400&display=swap → 200 (?ms, 16765B)
[2026-03-14T16:24:16.196Z] GET http://localhost:4400/@vite/client → 304 (37ms, ?B)
[2026-03-14T16:24:16.196Z] GET http://localhost:4400/@id/astro/runtime/client/dev-toolbar/entrypoint.js → 304 (30ms, ?B)
[2026-03-14T16:24:16.196Z] GET http://localhost:4400/src/styles/global.css → 304 (54ms, ?B)
[2026-03-14T16:24:16.206Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, ?B)
